episode - ,20,reward = ,-277434
episode - ,21,reward = ,-272260
episode - ,22,reward = ,-275238
episode - ,23,reward = ,-289721
episode - ,24,reward = ,-283823
episode - ,25,reward = ,-256776
episode - ,26,reward = ,-250376
episode - ,27,reward = ,-301589
episode - ,28,reward = ,-287363
episode - ,29,reward = ,-270116
episode - ,30,reward = ,-262437
episode - ,31,reward = ,-282285
episode - ,32,reward = ,-310661
episode - ,33,reward = ,-313639
episode - ,34,reward = ,-284232
episode - ,35,reward = ,-268709
episode - ,36,reward = ,-318927
episode - ,37,reward = ,-285237
episode - ,38,reward = ,-262382
episode - ,39,reward = ,-276148
episode - ,40,reward = ,-267724
episode - ,41,reward = ,-262305
episode - ,42,reward = ,-241460
episode - ,43,reward = ,-293715
episode - ,44,reward = ,-230770
episode - ,45,reward = ,-252344
episode - ,46,reward = ,-250303
episode - ,47,reward = ,-297017
episode - ,48,reward = ,-263056
episode - ,49,reward = ,-269933
episode - ,50,reward = ,-271123
episode - ,51,reward = ,-288227
episode - ,52,reward = ,-243061
episode - ,53,reward = ,-264969
episode - ,54,reward = ,-247304
episode - ,55,reward = ,-276246
episode - ,56,reward = ,-247783
episode - ,57,reward = ,-263812
episode - ,58,reward = ,-268904
episode - ,59,reward = ,-280975
episode - ,60,reward = ,-303219
episode - ,61,reward = ,-284416
episode - ,62,reward = ,-275851
episode - ,63,reward = ,-308057
episode - ,64,reward = ,-297538
episode - ,65,reward = ,-314598
episode - ,66,reward = ,-273736
episode - ,67,reward = ,-270406
episode - ,68,reward = ,-303280
episode - ,69,reward = ,-288120
episode - ,70,reward = ,-256488
episode - ,71,reward = ,-260913
episode - ,72,reward = ,-269296
episode - ,73,reward = ,-278696
episode - ,74,reward = ,-275466
episode - ,75,reward = ,-234201
episode - ,76,reward = ,-301381
episode - ,77,reward = ,-300434
episode - ,78,reward = ,-278307
episode - ,79,reward = ,-274272
episode - ,80,reward = ,-297932
episode - ,81,reward = ,-258201
episode - ,82,reward = ,-284403
episode - ,83,reward = ,-267359
episode - ,84,reward = ,-270409
episode - ,85,reward = ,-259272
episode - ,86,reward = ,-227966
episode - ,87,reward = ,-278763
episode - ,88,reward = ,-294150
episode - ,89,reward = ,-239919
episode - ,90,reward = ,-274254
episode - ,91,reward = ,-288932
episode - ,92,reward = ,-265828
episode - ,93,reward = ,-275181
episode - ,94,reward = ,-280523
episode - ,95,reward = ,-275663
episode - ,96,reward = ,-265590
episode - ,97,reward = ,-252316
episode - ,98,reward = ,-241001
episode - ,99,reward = ,-284488
episode - ,0,reward = ,-275517
episode - ,0,reward = ,-265386
episode - ,0,reward = ,-199276
episode - ,0,reward = ,-199276
episode - ,0,reward = ,-199276
episode - ,0,reward = ,-276838
episode - ,0,reward = ,-259261
episode - ,1,reward = ,-1128392
episode - ,2,reward = ,-915091
episode - ,3,reward = ,-462587
episode - ,4,reward = ,-562654
episode - ,5,reward = ,-354958
episode - ,6,reward = ,-599616
episode - ,7,reward = ,-361501
episode - ,8,reward = ,-517278
episode - ,9,reward = ,-542114
episode - ,10,reward = ,-359930
episode - ,11,reward = ,-308353
episode - ,12,reward = ,-306787
episode - ,13,reward = ,-241944
episode - ,14,reward = ,-396056
episode - ,15,reward = ,-414587
episode - ,16,reward = ,-618654
episode - ,17,reward = ,-1242679
episode - ,18,reward = ,-806217
episode - ,19,reward = ,-707759
episode - ,20,reward = ,-835071
episode - ,21,reward = ,-885478
episode - ,22,reward = ,-651252
episode - ,23,reward = ,-730247
episode - ,24,reward = ,-572781
episode - ,25,reward = ,-726218
episode - ,26,reward = ,-683341
episode - ,27,reward = ,-626195
episode - ,28,reward = ,-488919
episode - ,29,reward = ,-267854
episode - ,30,reward = ,-342498
episode - ,31,reward = ,-378253
episode - ,32,reward = ,-299247
episode - ,33,reward = ,-339817
episode - ,34,reward = ,-463098
episode - ,35,reward = ,-317203
episode - ,36,reward = ,-380120
episode - ,37,reward = ,-426950
episode - ,38,reward = ,-438665
episode - ,39,reward = ,-401409
episode - ,40,reward = ,-385219
episode - ,41,reward = ,-400690
episode - ,42,reward = ,-346164
episode - ,43,reward = ,-508969
episode - ,44,reward = ,-391534
episode - ,45,reward = ,-309110
episode - ,46,reward = ,-1670132
episode - ,47,reward = ,-1735678
episode - ,48,reward = ,-1516201
episode - ,49,reward = ,-1120678
episode - ,50,reward = ,-854012
episode - ,51,reward = ,-804866
episode - ,52,reward = ,-1211015
episode - ,53,reward = ,-426207
episode - ,54,reward = ,-335973
episode - ,55,reward = ,-314257
episode - ,56,reward = ,-269835
episode - ,57,reward = ,-303241
episode - ,58,reward = ,-374159
episode - ,59,reward = ,-377864
episode - ,60,reward = ,-330539
episode - ,61,reward = ,-292687
episode - ,62,reward = ,-369479
episode - ,63,reward = ,-308284
episode - ,64,reward = ,-430309
episode - ,65,reward = ,-1077343
episode - ,66,reward = ,-946669
episode - ,67,reward = ,-654209
episode - ,68,reward = ,-650450
episode - ,69,reward = ,-595612
episode - ,70,reward = ,-518732
episode - ,71,reward = ,-396890
episode - ,72,reward = ,-231014
episode - ,73,reward = ,-471105
episode - ,74,reward = ,-347905
episode - ,75,reward = ,-290697
episode - ,76,reward = ,-400951
episode - ,77,reward = ,-293980
episode - ,78,reward = ,-399287
episode - ,79,reward = ,-272232
episode - ,0,reward = ,-276838
episode - ,0,reward = ,-255279
episode - ,0,reward = ,-115642
episode - ,0,reward = ,-723059
episode - ,0,reward = ,-161151
episode - ,0,reward = ,-236086
episode - ,1,reward = ,-272054
episode - ,2,reward = ,-230013
episode - ,3,reward = ,-215453
episode - ,4,reward = ,-225236
episode - ,5,reward = ,-149715
episode - ,6,reward = ,-213868
episode - ,7,reward = ,-81809
episode - ,8,reward = ,-127605
episode - ,9,reward = ,-135359
episode - ,10,reward = ,-81787
episode - ,11,reward = ,-127468
episode - ,12,reward = ,-186536
episode - ,13,reward = ,-88371
episode - ,14,reward = ,-73724
episode - ,15,reward = ,-68217
episode - ,16,reward = ,-82981
episode - ,17,reward = ,-83217
episode - ,18,reward = ,-85247
episode - ,19,reward = ,-63676
episode - ,20,reward = ,-76787
episode - ,21,reward = ,-75592
episode - ,22,reward = ,-71216
episode - ,23,reward = ,-86258
episode - ,24,reward = ,-115842
episode - ,25,reward = ,-72534
episode - ,26,reward = ,-73065
episode - ,27,reward = ,-82640
episode - ,28,reward = ,-131630
episode - ,29,reward = ,-107622
episode - ,30,reward = ,-77468
episode - ,31,reward = ,-103620
episode - ,32,reward = ,-104350
episode - ,33,reward = ,-176702
episode - ,34,reward = ,-106935
episode - ,35,reward = ,-91861
episode - ,36,reward = ,-71149
episode - ,37,reward = ,-91686
episode - ,38,reward = ,-139816
episode - ,39,reward = ,-128407
episode - ,40,reward = ,-143828
episode - ,41,reward = ,-129950
episode - ,42,reward = ,-139629
episode - ,43,reward = ,-173355
episode - ,44,reward = ,-158872
episode - ,45,reward = ,-150977
episode - ,46,reward = ,-157360
episode - ,47,reward = ,-175696
episode - ,48,reward = ,-199427
episode - ,49,reward = ,-176556
episode - ,50,reward = ,-186400
episode - ,51,reward = ,-165794
episode - ,52,reward = ,-186174
episode - ,53,reward = ,-134259
episode - ,54,reward = ,-159116
episode - ,55,reward = ,-154707
episode - ,56,reward = ,-192815
episode - ,57,reward = ,-135525
episode - ,58,reward = ,-223241
episode - ,59,reward = ,-135765
episode - ,60,reward = ,-142309
episode - ,61,reward = ,-150754
episode - ,62,reward = ,-210958
episode - ,63,reward = ,-342821
episode - ,64,reward = ,-264277
episode - ,65,reward = ,-286496
episode - ,66,reward = ,-209155
episode - ,67,reward = ,-183281
episode - ,68,reward = ,-477660
episode - ,69,reward = ,-245364
episode - ,70,reward = ,-238398
episode - ,71,reward = ,-208177
episode - ,72,reward = ,-241364
episode - ,73,reward = ,-211075
episode - ,74,reward = ,-529205
episode - ,75,reward = ,-298459
episode - ,76,reward = ,-262658
episode - ,77,reward = ,-333594
episode - ,78,reward = ,-213548
episode - ,79,reward = ,-197957
episode - ,80,reward = ,-153730
episode - ,81,reward = ,-195150
episode - ,82,reward = ,-337223
episode - ,83,reward = ,-251901
episode - ,84,reward = ,-246447
episode - ,85,reward = ,-322848
episode - ,86,reward = ,-223859
episode - ,87,reward = ,-187919
episode - ,88,reward = ,-197591
episode - ,89,reward = ,-198832
episode - ,90,reward = ,-160331
episode - ,91,reward = ,-186910
episode - ,92,reward = ,-189512
episode - ,93,reward = ,-193334
episode - ,94,reward = ,-225017
episode - ,95,reward = ,-160642
episode - ,96,reward = ,-175804
episode - ,97,reward = ,-154147
episode - ,98,reward = ,-178191
episode - ,99,reward = ,-137982
episode - ,100,reward = ,-152337
episode - ,101,reward = ,-150576
episode - ,102,reward = ,-166063
episode - ,103,reward = ,-151375
episode - ,104,reward = ,-157975
episode - ,105,reward = ,-132757
episode - ,106,reward = ,-177395
episode - ,107,reward = ,-189861
episode - ,108,reward = ,-132900
episode - ,109,reward = ,-140989
episode - ,110,reward = ,-127875
episode - ,111,reward = ,-108298
episode - ,112,reward = ,-116409
episode - ,113,reward = ,-103381
episode - ,114,reward = ,-102114
episode - ,115,reward = ,-134422
episode - ,116,reward = ,-102699
episode - ,117,reward = ,-119494
episode - ,118,reward = ,-122009
episode - ,119,reward = ,-98523
episode - ,120,reward = ,-106439
episode - ,121,reward = ,-90860
episode - ,122,reward = ,-93182
episode - ,123,reward = ,-88414
episode - ,124,reward = ,-101806
episode - ,125,reward = ,-129667
episode - ,126,reward = ,-110100
episode - ,127,reward = ,-129901
episode - ,128,reward = ,-122424
episode - ,129,reward = ,-115065
episode - ,130,reward = ,-99694
episode - ,131,reward = ,-83665
episode - ,132,reward = ,-107206
episode - ,133,reward = ,-80083
episode - ,134,reward = ,-88449
episode - ,135,reward = ,-116045
episode - ,136,reward = ,-111952
episode - ,137,reward = ,-119276
episode - ,138,reward = ,-118419
episode - ,139,reward = ,-107521
episode - ,140,reward = ,-81868
episode - ,141,reward = ,-85299
episode - ,142,reward = ,-99719
episode - ,143,reward = ,-95711
episode - ,144,reward = ,-82665
episode - ,145,reward = ,-102465
episode - ,146,reward = ,-72255
episode - ,147,reward = ,-72696
episode - ,148,reward = ,-98751
episode - ,149,reward = ,-74211
episode - ,150,reward = ,-76466
episode - ,151,reward = ,-95068
episode - ,152,reward = ,-85743
episode - ,153,reward = ,-102886
episode - ,154,reward = ,-75568
episode - ,155,reward = ,-88095
episode - ,156,reward = ,-98390
episode - ,157,reward = ,-105992
episode - ,158,reward = ,-104927
episode - ,159,reward = ,-97054
episode - ,160,reward = ,-112498
episode - ,161,reward = ,-140190
episode - ,162,reward = ,-124539
episode - ,163,reward = ,-105869
episode - ,164,reward = ,-105013
episode - ,165,reward = ,-117221
episode - ,166,reward = ,-117475
episode - ,167,reward = ,-93716
episode - ,168,reward = ,-99905
episode - ,169,reward = ,-128502
episode - ,170,reward = ,-114132
episode - ,171,reward = ,-106143
episode - ,172,reward = ,-120433
episode - ,173,reward = ,-116471
episode - ,174,reward = ,-87852
episode - ,175,reward = ,-84515
episode - ,176,reward = ,-87046
episode - ,177,reward = ,-66498
episode - ,178,reward = ,-91248
episode - ,179,reward = ,-104023
episode - ,180,reward = ,-106166
episode - ,181,reward = ,-105865
episode - ,182,reward = ,-105030
episode - ,183,reward = ,-107806
episode - ,184,reward = ,-116839
episode - ,185,reward = ,-96030
episode - ,186,reward = ,-92954
